,Date,Team,Affected Player,Season,Injury Part,Injury Duration,7_day_distance_avg,28_day_distance_avg,Acute-Chronic Workload Ratio,foot,knee,lower leg,upper leg,back,arm,hand,upper body,core and hip,head and neck,foot_count,knee_count,lower leg_count,upper leg_count,back_count,arm_count,hand_count,upper body_count,core and hip_count,head and neck_count,Total Duration,Total num. of inj
108,2014-02-19,Trail Blazers,Meyers Leonard,2013-14,foot,10,0.14714285714285716,0.11285714285714285,1.3037974683544309,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,2
109,2014-02-19,Jazz,Derrick Favors,2013-14,core and hip,5,0.05714285714285715,0.36357142857142855,0.15717092337917488,0,0,3,0,4,0,0,0,17,0,0,0,1,0,1,0,0,0,2,0,24,4
110,2014-02-19,Kings,DeMarcus Cousins,2013-14,core and hip,2,0.2642857142857143,0.5039285714285715,0.5244507441530829,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,11,3
111,2014-02-21,Knicks,Iman Shumpert,2013-14,knee,9,0.3728571428571428,0.5146428571428571,0.7244968771686329,0,278,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,280,5
112,2014-02-23,Thunder,Kendrick Perkins,2013-14,upper leg,39,0.06714285714285714,0.4921428571428571,0.13642960812772134,7,246,2,0,0,0,0,22,0,0,1,4,1,1,0,0,0,4,0,0,277,11
113,2014-02-23,Heat,LeBron James,2013-14,head and neck,4,0.6685714285714285,0.9007142857142857,0.7422680412371133,16,2,0,2,1,0,0,0,0,0,6,1,0,1,1,0,0,0,0,1,21,10
114,2014-02-25,Magic,Arron Afflalo,2013-14,foot,8,1.0928571428571427,1.0046428571428572,1.0878066121578385,0,0,33,11,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,44,7
115,2014-02-25,Wizards,Nene,2013-14,knee,43,1.1185714285714283,0.9675,1.1561461794019934,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2
116,2014-02-28,Kings,Carl Landry,2013-14,knee,215,0.4514285714285714,0.3167857142857144,1.425028184892897,3,60,0,20,0,0,0,0,81,0,1,3,0,1,0,0,0,0,1,0,164,6
117,2014-03-01,Trail Blazers,Thomas Robinson,2013-14,knee,6,0.4571428571428572,0.31999999999999995,1.4285714285714288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2014-03-02,Raptors,Terrence Ross,2013-14,foot,5,0.7814285714285715,0.7553571428571428,1.0345153664302602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2014-03-03,Heat,Dwyane Wade,2013-14,knee,1,0.5599999999999999,0.6539285714285715,0.8563626433642816,23,23,2,9,0,0,39,61,2,10,4,10,1,1,0,0,5,2,1,2,169,26
120,2014-03-05,Rockets,Greg Smith,2013-14,knee,36,0.0,0.0,0.0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,2
121,2014-03-06,Suns,Leandro Barbosa,2013-14,foot,209,0.2271428571428571,0.21321428571428566,1.065326633165829,47,227,15,0,0,0,234,11,0,0,5,2,1,0,0,0,3,1,0,0,534,12
122,2014-03-06,Spurs,Jeff Ayres,2013-14,hand,2,0.13,0.3364285714285714,0.386411889596603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2014-03-07,Pacers,C.J. Watson,2013-14,arm,7,0.7785714285714285,0.6089285714285715,1.278592375366569,3,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,8,3
124,2014-03-08,Magic,Victor Oladipo,2013-14,foot,2,0.6442857142857142,0.7864285714285716,0.8192552225249771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2014-03-09,Raptors,Patrick Patterson,2013-14,arm,22,0.5514285714285715,0.6503571428571429,0.8478857770455794,7,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,9,3
126,2014-03-10,Nets,Andrei Kirilenko,2013-14,foot,5,0.75,0.6564285714285714,1.1425462459194775,37,55,0,28,80,0,12,0,0,0,3,2,0,3,6,0,2,0,0,0,212,16
127,2014-03-11,Mavericks,Jae Crowder,2013-14,core and hip,5,0.3471428571428571,0.2271428571428571,1.5283018867924532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2014-03-11,Pacers,Ian Mahinmi,2013-14,core and hip,3,0.4971428571428572,0.4785714285714285,1.0388059701492538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2014-03-12,Jazz,John Lucas III,2013-14,foot,4,0.05285714285714286,0.0325,1.6263736263736264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
