,Date,Team,Acquired,Relinquished,Notes
28932,2019-11-20,Cavaliers,Larry Nance Jr.,,activated from IL
28933,2019-11-20,Clippers,Kawhi Leonard,,activated from IL
28934,2019-11-20,Jazz,,Nigel Williams-Goss,placed on IL
28935,2019-11-20,Magic,,Michael Carter-Williams,placed on IL with hip injury
28936,2019-11-20,Magic,Jonathan Isaac,,activated from IL
28937,2019-11-20,Mavericks,,Seth Curry,placed on IL with illness
28938,2019-11-20,Mavericks,Ryan Broekhoff,,activated from IL
28939,2019-11-20,Spurs,,Derrick White,placed on IL with sore left foot
28940,2019-11-20,Timberwolves,,Jake Layman,placed on IL with toe injury
28941,2019-11-20,Timberwolves,,Naz Reid,placed on IL
28942,2019-11-20,Timberwolves,Shabazz Napier,,activated from IL
28943,2019-11-20,Blazers,Pau Gasol,,activated from IL
28944,2019-11-21,Blazers,,Hassan Whiteside,placed on IL with right hip injury
28945,2019-11-21,Pelicans,Lonzo Ball,,activated from IL
28946,2019-11-22,Cavaliers,Brandon Knight,,activated from IL
28947,2019-11-22,Cavaliers,Tristan Thompson,,activated from IL
28948,2019-11-22,Hawks,,Cameron Reddish / Cam Reddish,placed on IL with sprained left wrist
28949,2019-11-22,Rockets,,Danuel House,placed on IL with sore left shoulder
28950,2019-11-23,76ers,,Furkan Korkmaz,placed on IL with sprained left ankle
28951,2019-11-23,76ers,Josh Richardson,,activated from IL
28952,2019-11-23,Blazers,,Damian Lillard,placed on IL with back spasms
28953,2019-11-23,Blazers,Damian Lillard,,activated from IL
28954,2019-11-23,Bucks,,Ersan Ilyasova,placed on IL with sore left heel
28955,2019-11-23,Bucks,Dragan Bender,,activated from IL
28956,2019-11-23,Bulls,Chandler Hutchison,,activated from IL
28957,2019-11-23,Grizzlies,Grayson Allen,,activated from IL
28958,2019-11-23,Magic,,Aaron Gordon,placed on IL with bruised right ankle
28959,2019-11-23,Pacers,,JaKarr Sampson,placed on IL with sore back
28960,2019-11-23,Pacers,Jeremy Lamb,,activated from IL
28961,2019-11-23,Pacers,T.J. McConnell,,activated from IL
28962,2019-11-23,Pistons,,Blake Griffin,placed on IL with left hamstring injury
28963,2019-11-23,Pistons,,Tony Snell,placed on IL with strained left hip
28964,2019-11-23,Pistons,Jordan Bone,,activated from IL
28965,2019-11-23,Pistons,Sekou Doumbouya,,activated from IL
28966,2019-11-23,Raptors,,Dewan Hernandez,placed on IL with sprained right thumb
28967,2019-11-23,Spurs,Derrick White,,activated from IL
28968,2019-11-23,Timberwolves,,Robert Covington,placed on IL for personal reasons
28969,2019-11-24,Mavericks,,Ryan Broekhoff,placed on IL
28970,2019-11-24,Mavericks,Seth Curry,,activated from IL
28971,2019-11-24,Rockets,Danuel House,,activated from IL
28972,2019-11-25,76ers,,Kyle O'Quinn,placed on IL with strained left calf
28973,2019-11-25,76ers,Furkan Korkmaz,,activated from IL
28974,2019-11-25,Blazers,,Gary Trent Jr.,placed on IL with strained right hamstring
28975,2019-11-25,Blazers,Hassan Whiteside,,activated from IL
28976,2019-11-25,Bucks,,George Hill,placed on IL with sore back
28977,2019-11-25,Bucks,Ersan Ilyasova,,activated from IL
28978,2019-11-25,Bulls,,Max Strus,placed on IL
28979,2019-11-25,Celtics,,Daniel Theis,placed on IL with illness
28980,2019-11-25,Celtics,,Kemba Walker,placed on IL with sprained neck
28981,2019-11-25,Hawks,Cameron Reddish / Cam Reddish,,activated from IL
28982,2019-11-25,Jazz,,Rudy Gobert,placed on IL with sprained left ankle
28983,2019-11-25,Nets,,DeAndre Jordan,placed on IL with sore left ankle
28984,2019-11-25,Pacers,,Nazareth Mitrou-Long / Naz Mitrou-Long / Naz Long,placed on IL
28985,2019-11-25,Pacers,Malcolm Brogdon,,activated from IL
28986,2019-11-25,Pistons,,Jordan Bone,placed on IL
28987,2019-11-25,Pistons,,Sekou Doumbouya,placed on IL
28988,2019-11-25,Pistons,Blake Griffin,,activated from IL
28989,2019-11-25,Pistons,Tony Snell,,activated from IL
28990,2019-11-25,Raptors,,Matt Thomas,placed on IL with fractured finger
28991,2019-11-25,Thunder,,Hamidou Diallo,placed on IL with sprained right elbow
28992,2019-11-25,Timberwolves,,Shabazz Napier,placed on IL
28993,2019-11-27,Bucks,,Dragan Bender,placed on IL
28994,2019-11-27,Bucks,,Thanasis Antetokounmpo,placed on IL with illness
28995,2019-11-27,Bucks,Frank Mason,,activated from IL
28996,2019-11-27,Bucks,Khris Middleton,,activated from IL
28997,2019-11-27,Bulls,Luke Kornet,,activated from IL
28998,2019-11-27,Bulls,Max Strus,,activated from IL
28999,2019-11-27,Celtics,Daniel Theis,,activated from IL
29000,2019-11-27,Celtics,Kemba Walker,,activated from IL
29001,2019-11-27,Heat,,Derrick Jones Jr.,placed on IL with strained left hip
29002,2019-11-27,Heat,Justise Winslow,,activated from IL
29003,2019-11-27,Hornets,,Cody Zeller,placed on IL with bruised left hip
29004,2019-11-27,Jazz,Rudy Gobert,,activated from IL
29005,2019-11-27,Rockets,,Clint Capela,placed on IL with illness
29006,2019-11-27,Spurs,,Chimezie Metu,placed on IL with sore left foot
29007,2019-11-27,Suns,,Deandre Ayton,placed on IL with sprained right ankle
29008,2019-11-27,Timberwolves,Shabazz Napier,,activated from IL
29009,2019-11-27,Wizards,,C.J. Miles,placed on IL with left wrist injury
29010,2019-11-29,76ers,,Josh Richardson,placed on IL with right hamstring injury
29011,2019-11-29,76ers,Zhaire Smith,,activated from IL
29012,2019-11-29,Bucks,,Kyle Korver,placed on IL with sore right elbow
29013,2019-11-29,Bucks,,Sterling Brown,placed on IL with sprained right shoulder
29014,2019-11-29,Bucks,George Hill,,activated from IL
29015,2019-11-29,Bulls,,Chandler Hutchison,placed on IL with right shoulder injury
29016,2019-11-29,Jazz,,Juwan Morgan,placed on IL
29017,2019-11-29,Jazz,Ed Davis (Adam),,activated from IL
29018,2019-11-29,Magic,Aaron Gordon,,activated from IL
29019,2019-11-29,Nets,DeAndre Jordan,,activated from IL
29020,2019-11-29,Warriors,,D'Angelo Russell,placed on IL with sprained right thumb
29021,2019-11-30,76ers,Kyle O'Quinn,,activated from IL
29022,2019-11-30,Bucks,,Brook Lopez,placed on IL with sore back
29023,2019-11-30,Bucks,Dragan Bender,,activated from IL
29024,2019-11-30,Bucks,Kyle Korver,,activated from IL
29025,2019-11-30,Hawks,,Cameron Reddish / Cam Reddish,placed on IL with sprained left wrist
29026,2019-11-30,Hornets,Cody Zeller,,activated from IL
29027,2019-11-30,Rockets,,Danuel House,placed on IL with illness
29028,2019-12-01,Clippers,,Rodney McGruder,placed on IL with strained right hamstring
29029,2019-12-01,Grizzlies,,Ja Morant,placed on IL with back spasms
29030,2019-12-01,Grizzlies,,Jonas Valanciunas,placed on IL with illness
29031,2019-12-01,Grizzlies,,Kyle Anderson,placed on IL with right heel injury
29032,2019-12-01,Heat,Derrick Jones Jr.,,activated from IL
29033,2019-12-01,Jazz,Nigel Williams-Goss,,activated from IL
29034,2019-12-01,Magic,,Al-Farouq Aminu,placed on IL with right knee injury (out for season)
29035,2019-12-01,Pistons,Sekou Doumbouya,,activated from IL
29036,2019-12-01,Raptors,Dewan Hernandez,,activated from IL
29037,2019-12-01,Raptors,Serge Ibaka,,activated from IL
29038,2019-12-01,Spurs,,LaMarcus Aldridge,placed on IL with right thigh injury
29039,2019-12-01,Spurs,Chimezie Metu,,activated from IL
29040,2019-12-02,76ers,,Trey Burke,placed on IL with illness
29041,2019-12-02,76ers,,Zhaire Smith,placed on IL
29042,2019-12-02,Bucks,,Frank Mason,placed on IL
29043,2019-12-02,Bucks,Thanasis Antetokounmpo,,activated from IL
29044,2019-12-02,Grizzlies,Jonas Valanciunas,,activated from IL
29045,2019-12-02,Hawks,,Allen Crabbe,placed on IL with illness
29046,2019-12-02,Hawks,Cameron Reddish / Cam Reddish,,activated from IL
29047,2019-12-02,Kings,Trevor Ariza,,activated from IL
29048,2019-12-02,Knicks,,Marcus Morris,placed on IL with neck spasms
29049,2019-12-02,Suns,,Cheick Diallo,placed on IL with illness
29050,2019-12-02,Suns,Ty Jerome,,activated from IL
29051,2019-12-02,Warriors,Kevon Looney,,activated from IL
29052,2019-12-03,Cavaliers,John Henson,,activated from IL
29053,2019-12-03,Heat,,Goran Dragic,placed on IL with strained right groin
29054,2019-12-03,Heat,Dion Waiters,,activated from IL
29055,2019-12-03,Magic,Michael Carter-Williams,,activated from IL
29056,2019-12-03,Raptors,Kyle Lowry,,activated from IL
29057,2019-12-03,Rockets,Clint Capela,,activated from IL
29058,2019-12-03,Spurs,LaMarcus Aldridge,,activated from IL
29059,2019-12-03,Wizards,,Thomas Bryant,placed on IL with right foot injury
29060,2019-12-04,Bucks,,Dragan Bender,placed on IL
29061,2019-12-04,Bucks,Brook Lopez,,activated from IL
29062,2019-12-04,Bucks,Sterling Brown,,activated from IL
29063,2019-12-04,Bulls,,Max Strus,placed on IL
29064,2019-12-04,Hawks,,Chandler Parsons,placed on IL with flu
29065,2019-12-04,Hawks,,De'Andre Hunter,placed on IL with right index finger injury
29066,2019-12-04,Hawks,Kevin Huerter,,activated from IL
29067,2019-12-04,Jazz,,Mike Conley Jr.,placed on IL with left hamstring injury
29068,2019-12-04,Kings,,Bogdan Bogdanovic,placed on IL with bruised right knee
29069,2019-12-04,Magic,,Michael Carter-Williams,placed on IL with nose injury
29070,2019-12-04,Suns,Cheick Diallo,,activated from IL
29071,2019-12-04,Warriors,D'Angelo Russell,,activated from IL
29072,2019-12-04,Jazz,Juwan Morgan,,activated from IL
29073,2019-12-05,76ers,Trey Burke,,activated from IL
29074,2019-12-05,Knicks,Elfrid Payton,,activated from IL
29075,2019-12-05,Knicks,Marcus Morris,,activated from IL
29076,2019-12-05,Pacers,Edmond Sumner,,activated from IL
29077,2019-12-05,Rockets,Danuel House,,activated from IL
29078,2019-12-05,Wizards,,Jordan McRae,placed on IL with surgery on finger
29079,2019-12-05,Wizards,Ian Mahinmi,,activated from IL
29080,2019-12-06,Cavaliers,,Kevin Love,placed on IL with illness
29081,2019-12-06,Heat,,Dion Waiters,placed on IL with illness
29082,2019-12-06,Kings,Bogdan Bogdanovic,,activated from IL
29083,2019-12-06,Magic,Michael Carter-Williams,,activated from IL
29084,2019-12-06,Pistons,,Sekou Doumbouya,placed on IL
29085,2019-12-06,Thunder,,Terrance Ferguson,placed on IL with right hip injury
29086,2019-12-06,Timberwolves,,Andrew Wiggins,placed on IL with sprained left thumb
29087,2019-12-06,Wizards,,Isaiah Thomas,placed on IL with strained left calf
29088,2019-12-07,76ers,,Joel Embiid,placed on IL with bruised left hip
29089,2019-12-07,Blazers,,Rodney Hood,placed on IL with torn left Achilles tendon (out for season)
29090,2019-12-07,Cavaliers,Kevin Love,,activated from IL
29091,2019-12-07,Grizzlies,,Brandon Clarke,placed on IL with left oblique injury
29092,2019-12-07,Jazz,,Nigel Williams-Goss,placed on IL
29093,2019-12-07,Knicks,,Wayne Ellington,placed on IL with left Achilles injury
29094,2019-12-07,Pacers,,Malcolm Brogdon,placed on IL with right hand injury
29095,2019-12-08,76ers,Joel Embiid,,activated from IL
29096,2019-12-08,Blazers,Gary Trent Jr.,,activated from IL
29097,2019-12-08,Hawks,Allen Crabbe,,activated from IL
29098,2019-12-08,Hawks,Chandler Parsons,,activated from IL
29099,2019-12-08,Hawks,De'Andre Hunter,,activated from IL
29100,2019-12-08,Hornets,,Marvin Williams,placed on IL with sore right knee
29101,2019-12-08,Lakers,,Rajon Rondo,placed on IL with strained left hamstring
29102,2019-12-08,Mavericks,,Delon Wright,placed on IL with strained right adductor
29103,2019-12-08,Mavericks,Ryan Broekhoff,,activated from IL
29104,2019-12-08,Nuggets,Vlatko Cancar,,activated from IL
29105,2019-12-08,Timberwolves,Andrew Wiggins,,activated from IL
29106,2019-12-08,Timberwolves,Naz Reid,,activated from IL
29107,2019-12-09,Bulls,Max Strus,,activated from IL
29108,2019-12-09,Celtics,,Marcus Smart,placed on IL with left eye injury
29109,2019-12-09,Celtics,,Robert Williams III,placed on IL with sore left hip
29110,2019-12-09,Celtics,Gordon Hayward,,activated from IL
29111,2019-12-09,Clippers,,JaMychal Green,placed on IL with tailbone injury
29112,2019-12-09,Grizzlies,Ja Morant,,activated from IL
29113,2019-12-09,Jazz,Nigel Williams-Goss,,activated from IL
29114,2019-12-09,Pacers,Malcolm Brogdon,,activated from IL
29115,2019-12-09,Rockets,,Tyson Chandler,placed on IL with illness
29116,2019-12-09,Thunder,,Danilo Gallinari,placed on IL with sprained right ankle
29117,2019-12-09,Warriors,Jacob Evans,,activated from IL
29118,2019-12-10,76ers,Josh Richardson,,activated from IL
29119,2019-12-10,Heat,,Justise Winslow,placed on IL with strained lower back
29120,2019-12-10,Heat,K.Z. Okpala,,activated from IL
29121,2019-12-11,Bucks,,Giannis Antetokounmpo,placed on IL with right quadricep injury
29122,2019-12-11,Bulls,,Max Strus,placed on IL
29123,2019-12-11,Celtics,Romeo Langford,,activated from IL
29124,2019-12-11,Grizzlies,,Grayson Allen,placed on IL with sore right ankle
29125,2019-12-11,Grizzlies,Brandon Clarke,,activated from IL
29126,2019-12-11,Grizzlies,Kyle Anderson,,activated from IL
29127,2019-12-11,Hornets,,Nicolas Batum,placed on IL with left hand injury
29128,2019-12-11,Kings,Marvin Bagley III,,activated from IL
29129,2019-12-11,Lakers,,Kyle Kuzma,placed on IL with sprained left ankle
29130,2019-12-11,Lakers,Avery Bradley,,activated from IL
29131,2019-12-11,Magic,,Markelle Fultz,placed on IL with illness
29132,2019-12-11,Nets,,Nicolas Claxton,placed on IL with left hamstring injury
29133,2019-12-11,Raptors,,Fred VanVleet,placed on IL with bruised right knee
29134,2019-12-11,Raptors,Patrick McCaw,,activated from IL
29135,2019-12-11,Rockets,,Austin Rivers,placed on IL with flu
29136,2019-12-11,Thunder,Danilo Gallinari,,activated from IL
29137,2019-12-11,Timberwolves,,Keita Bates-Diop,placed on IL with illness
29138,2019-12-11,Warriors,Damion Lee,,activated from IL
29139,2019-12-12,Bucks,,Kyle Korver,placed on IL with sore back
29140,2019-12-12,Nuggets,,Vlatko Cancar,placed on IL
29141,2019-12-13,76ers,,Al Horford,placed on IL with sore left knee
29142,2019-12-13,Bucks,Giannis Antetokounmpo,,activated from IL
29143,2019-12-13,Clippers,,Patrick Beverley,placed on IL with concussion
29144,2019-12-13,Clippers,Rodney McGruder,,activated from IL
29145,2019-12-13,Grizzlies,,Ja Morant,placed on IL with back injury
29146,2019-12-13,Jazz,,Tony Bradley,placed on IL with illness
29147,2019-12-13,Knicks,,Allonzo Trier,placed on IL with concussion
29148,2019-12-13,Lakers,Rajon Rondo,,activated from IL
29149,2019-12-13,Magic,Markelle Fultz,,activated from IL
29150,2019-12-13,Pelicans,Derrick Favors,,activated from IL
29151,2019-12-13,Rockets,Austin Rivers,,activated from IL
29152,2019-12-13,Timberwolves,Keita Bates-Diop,,activated from IL
29153,2019-12-13,Warriors,,Draymond Green,placed on IL
29154,2019-12-14,Bucks,,Eric Bledsoe,placed on IL with right fibula injury
29155,2019-12-14,Bucks,Frank Mason,,activated from IL
29156,2019-12-14,Bucks,Kyle Korver,,activated from IL
29157,2019-12-14,Bulls,Cristiano Felicio,,activated from IL
29158,2019-12-14,Clippers,,Kawhi Leonard,placed on IL
29159,2019-12-14,Clippers,Landry Shamet,,activated from IL
29160,2019-12-14,Grizzlies,Ja Morant,,activated from IL
29161,2019-12-14,Mavericks,,Ryan Broekhoff,placed on IL
29162,2019-12-14,Mavericks,Delon Wright,,activated from IL
29163,2019-12-14,Nuggets,,Paul Millsap,placed on IL with strained right quadriceps
29164,2019-12-14,Nuggets,Vlatko Cancar,,activated from IL
29165,2019-12-14,Thunder,,Russell Westbrook,placed on IL
29166,2019-12-15,76ers,,Joel Embiid,placed on IL with illness
29167,2019-12-15,76ers,Al Horford,,activated from IL
29168,2019-12-15,Nuggets,,Vlatko Cancar,placed on IL
29169,2019-12-15,Rockets,Tyson Chandler,,activated from IL
29170,2019-12-15,Warriors,,Eric Paschall,placed on IL with sore left hip
29171,2019-12-15,Warriors,Draymond Green,,activated from IL
29172,2019-12-16,Bucks,,Frank Mason,placed on IL
29173,2019-12-16,Jazz,Tony Bradley,,activated from IL
29174,2019-12-16,Mavericks,,Luka Doncic,placed on IL with sprained right ankle
29175,2019-12-16,Mavericks,Ryan Broekhoff,,activated from IL
29176,2019-12-16,Rockets,Russell Westbrook,,activated from IL
29177,2019-12-16,Thunder,Terrance Ferguson,,activated from IL
29178,2019-12-16,Wizards,,Moritz Wagner / Moe Wagner,placed on IL with sprained left ankle
29179,2019-12-16,Wizards,Isaiah Thomas,,activated from IL
29180,2019-12-17,76ers,Joel Embiid,,activated from IL
29181,2019-12-17,Clippers,,Terance Mann,placed on IL
29182,2019-12-17,Clippers,Kawhi Leonard,,activated from IL
29183,2019-12-17,Clippers,Patrick Beverley,,activated from IL
29184,2019-12-17,Hawks,,Chandler Parsons,placed on IL with illness
29185,2019-12-17,Hornets,,P.J. Washington,placed on IL with fractured finger
29186,2019-12-17,Hornets,Marvin Williams,,activated from IL
29187,2019-12-17,Jazz,,Nigel Williams-Goss,placed on IL
29188,2019-12-17,Jazz,Mike Conley Jr.,,activated from IL
29189,2019-12-17,Kings,De'Aaron Fox,,activated from IL
29190,2019-12-17,Lakers,,Anthony Davis,placed on IL with sprained right ankle
29191,2019-12-17,Suns,,Tyler Johnson,placed on IL with illness
29192,2019-12-17,Suns,Deandre Ayton,,activated from IL
29193,2019-12-17,Warriors,Eric Paschall,,activated from IL
29194,2019-12-17,Pacers,JaKarr Sampson,,activated from IL
29195,2019-12-17,Pacers,,Alize Johnson,placed on IL with illness
29196,2019-12-18,Bulls,,Cristiano Felicio,placed on IL
29197,2019-12-18,Celtics,,Gordon Hayward,placed on IL with sore left foot
29198,2019-12-18,Celtics,,Vincent Poirier,placed on IL with fractured finger
29199,2019-12-18,Hornets,Nicolas Batum,,activated from IL
29200,2019-12-18,Nuggets,Paul Millsap,,activated from IL
29201,2019-12-18,Nuggets,Vlatko Cancar,,activated from IL
29202,2019-12-18,Wizards,,Rui Hachimura,placed on IL with groin injury
29203,2019-12-18,Pacers,Alize Johnson,,activated from IL
29204,2019-12-19,Hawks,Chandler Parsons,,activated from IL
29205,2019-12-19,Jazz,,Mike Conley Jr.,placed on IL with left hamstring injury
29206,2019-12-19,Lakers,Anthony Davis,,activated from IL
29207,2019-12-20,Grizzlies,Grayson Allen,,activated from IL
29208,2019-12-20,Heat,Goran Dragic,,activated from IL
29209,2019-12-20,Kings,,Bogdan Bogdanovic,placed on IL with sore right ankle
29210,2019-12-20,Knicks,Allonzo Trier,,activated from IL
29211,2019-12-20,Pistons,,Blake Griffin,placed on IL with sore left knee
29212,2019-12-20,Pistons,,Christian Wood,placed on IL with left knee injury
29213,2019-12-20,Pistons,,Luke Kennard,placed on IL with knee injury
29214,2019-12-20,Pistons,Sekou Doumbouya,,activated from IL
29215,2019-12-20,Raptors,,Marc Gasol,placed on IL with strained left hamstring
29216,2019-12-20,Raptors,,Norman Powell,placed on IL with left shoulder subluxation
29217,2019-12-20,Raptors,,Pascal Siakam,placed on IL with groin injury
29218,2019-12-20,Raptors,Fred VanVleet,,activated from IL
29219,2019-12-20,Suns,,Deandre Ayton,placed on IL with sprained right ankle
29220,2019-12-20,Suns,Tyler Johnson,,activated from IL
29221,2019-12-20,Timberwolves,,Karl-Anthony Towns,placed on IL with sprained left knee
29222,2019-12-21,Bucks,,Wesley Matthews / Wes Matthews Jr.,placed on IL with bruised right thigh
29223,2019-12-21,Grizzlies,,Jonas Valanciunas,placed on IL with sore right foot
29224,2019-12-21,Hawks,,Evan Turner,placed on IL with strained right hamstring
29225,2019-12-21,Pistons,Luke Kennard,,activated from IL
29226,2019-12-21,Rockets,,David Nwaba,placed on IL with torn right Achilles tendon (out for season)
29227,2019-12-21,Suns,,Ricky Rubio,placed on IL with illness
29228,2019-12-21,Suns,Jalen Lecque,,activated from IL
29229,2019-12-22,Bucks,Frank Mason,,activated from IL
29230,2019-12-22,Bucks,Wesley Matthews / Wes Matthews Jr.,,activated from IL
29231,2019-12-22,Clippers,,Patrick Beverley,placed on IL with right groin injury
29232,2019-12-22,Clippers,JaMychal Green,,activated from IL
29233,2019-12-22,Lakers,,LeBron James,placed on IL with strained thoracic muscle
29234,2019-12-22,Lakers,Kyle Kuzma,,activated from IL
29235,2019-12-22,Raptors,,Dewan Hernandez,placed on IL with sprained right ankle
29236,2019-12-22,Thunder,,Danilo Gallinari,placed on IL with sore left ankle
29237,2019-12-23,76ers,,Matisse Thybulle,placed on IL with sprained right knee
29238,2019-12-23,Bulls,Cristiano Felicio,,activated from IL
29239,2019-12-23,Cavaliers,,Larry Nance Jr.,placed on IL with sore left knee
29240,2019-12-23,Grizzlies,Jonas Valanciunas,,activated from IL
29241,2019-12-23,Magic,,Michael Carter-Williams,placed on IL with sprained left shoulder
29242,2019-12-23,Pacers,,Malcolm Brogdon,placed on IL with left hamstring injury
29243,2019-12-23,Pistons,,Bruce Brown,placed on IL with calf injury
29244,2019-12-23,Pistons,,Luke Kennard,placed on IL with knee tendinitis (out for season)
29245,2019-12-23,Pistons,Blake Griffin,,activated from IL
29246,2019-12-23,Pistons,Christian Wood,,activated from IL
29247,2019-12-23,Raptors,Stanley Johnson,,activated from IL
29248,2019-12-23,Rockets,,Thabo Sefolosha,placed on IL with illness
29249,2019-12-23,Suns,,Jalen Lecque,placed on IL
29250,2019-12-23,Suns,Ricky Rubio,,activated from IL
29251,2019-12-23,Timberwolves,,Shabazz Napier,placed on IL with illness
29252,2019-12-23,Warriors,,Glenn Robinson III,placed on IL with sprained right ankle
29253,2019-12-23,Wizards,,Davis Bertans,placed on IL with strained right quadriceps
29254,2019-12-24,Heat,Dion Waiters,,activated from IL
29255,2019-12-25,Bucks,,Frank Mason,placed on IL with strained abdominal
29256,2019-12-25,Celtics,Gordon Hayward,,activated from IL
29257,2019-12-25,Clippers,Patrick Beverley,,activated from IL
29258,2019-12-25,Lakers,LeBron James,,activated from IL
29259,2019-12-25,Warriors,,Kevon Looney,placed on IL with abdominal injury
29260,2019-12-25,Warriors,Glenn Robinson III,,activated from IL
29261,2019-12-26,Jazz,Nigel Williams-Goss,,activated from IL
29262,2019-12-26,Kings,Bogdan Bogdanovic,,activated from IL
29263,2019-12-26,Knicks,,Dennis Smith Jr.,placed on IL with strained left oblique
29264,2019-12-26,Mavericks,Luka Doncic,,activated from IL
29265,2019-12-26,Pistons,,Sekou Doumbouya,placed on IL with illness
29266,2019-12-26,Pistons,Bruce Brown,,activated from IL
29267,2019-12-26,Timberwolves,Shabazz Napier,,activated from IL
29268,2019-12-26,Wizards,Jordan McRae,,activated from IL
29269,2019-12-27,Bucks,,Giannis Antetokounmpo,placed on IL with sore back
29270,2019-12-27,Cavaliers,Larry Nance Jr.,,activated from IL
29271,2019-12-27,Hawks,,Alex Len,placed on IL with sprained left ankle
29272,2019-12-27,Hawks,,Jabari Parker,placed on IL with right shoulder injury
29273,2019-12-27,Hawks,Evan Turner,,activated from IL
29274,2019-12-27,Hornets,P.J. Washington,,activated from IL
29275,2019-12-27,Magic,,Mohamed Bamba / Mo Bamba,placed on IL with sprained right ankle
29276,2019-12-27,Warriors,,Eric Paschall,placed on IL with bruised right hip
29277,2019-12-27,Warriors,,Jordan Poole,placed on IL
29278,2019-12-28,Bulls,,Cristiano Felicio,placed on IL with illness
29279,2019-12-28,Bulls,Adam Mokoka,,activated from IL
29280,2019-12-28,Cavaliers,,Kevin Love,placed on IL with bruised right hip
29281,2019-12-28,Celtics,Marcus Smart,,activated from IL
29282,2019-12-28,Clippers,,Montrezl Harrell,placed on IL with illness
29283,2019-12-28,Hawks,,Trae Young,placed on IL with sprained right ankle
29284,2019-12-28,Hawks,Alex Len,,activated from IL
29285,2019-12-28,Jazz,,Nigel Williams-Goss,placed on IL
29286,2019-12-28,Kings,,De'Aaron Fox,placed on IL with back spasms
29287,2019-12-28,Kings,,Marvin Bagley III,placed on IL with left foot injury
29288,2019-12-28,Knicks,Wayne Ellington,,activated from IL
29289,2019-12-28,Nuggets,,Paul Millsap,placed on IL with bruised left knee
29290,2019-12-28,Pistons,,Markieff Morris,placed on IL with sprained left foot
29291,2019-12-28,Rockets,,Clint Capela,placed on IL with right heel injury
29292,2019-12-28,Rockets,,Michael Frazier II,placed on IL
29293,2019-12-28,Rockets,Thabo Sefolosha,,activated from IL
29294,2019-12-28,Warriors,,Omari Spellman,placed on IL with illness
29295,2019-12-28,Wizards,,Bradley Beal,placed on IL with right leg injury
29296,2019-12-29,Grizzlies,,Jae Crowder,placed on IL with sore left ankle
29297,2019-12-29,Kings,De'Aaron Fox,,activated from IL
29298,2019-12-29,Rockets,Eric Gordon,,activated from IL
29299,2019-12-29,Thunder,,Dennis Schröder,placed on IL with sore right ankle
29300,2019-12-29,Thunder,,Russell Westbrook,placed on IL
29301,2019-12-30,Bucks,,Wesley Matthews / Wes Matthews Jr.,placed on IL with bruised right thigh
29302,2019-12-30,Bucks,Eric Bledsoe,,activated from IL
29303,2019-12-30,Bucks,Giannis Antetokounmpo,,activated from IL
29304,2019-12-30,Cavaliers,Kevin Love,,activated from IL
29305,2019-12-30,Clippers,Montrezl Harrell,,activated from IL
29306,2019-12-30,Hawks,,Chandler Parsons,placed on IL
29307,2019-12-30,Jazz,Nigel Williams-Goss,,activated from IL
29308,2019-12-30,Magic,,Aaron Gordon,placed on IL with left Achilles injury
29309,2019-12-30,Magic,Mohamed Bamba / Mo Bamba,,activated from IL
29310,2019-12-30,Pacers,Malcolm Brogdon,,activated from IL
29311,2019-12-30,Pistons,Sekou Doumbouya,,activated from IL
29312,2019-12-30,Suns,Deandre Ayton,,activated from IL
29313,2019-12-30,Timberwolves,,Andrew Wiggins,placed on IL with illness
29314,2019-12-30,Warriors,Omari Spellman,,activated from IL
29315,2019-12-31,76ers,,Joel Embiid,placed on IL with sore left knee
29316,2019-12-31,Celtics,,Jaylen Brown,placed on IL with illness
29317,2019-12-31,Clippers,,Patrick Beverley,placed on IL with sprained right wrist
29318,2019-12-31,Mavericks,,Kristaps Porzingis,placed on IL with sore right knee
29319,2019-12-31,Mavericks,,Ryan Broekhoff,placed on IL with fractured fibula in left leg
29320,2019-12-31,Mavericks,,Tim Hardaway Jr.,placed on IL with strained left hamstring
29321,2019-12-31,Nuggets,,Gary Harris,placed on IL with bruised left shin
29322,2019-12-31,Nuggets,Paul Millsap,,activated from IL
29323,2019-12-31,Rockets,Clint Capela,,activated from IL
29324,2019-12-31,Rockets,Russell Westbrook,,activated from IL
29325,2019-12-31,Thunder,11/25/2019,,activated from IL
29326,2019-12-31,Thunder,Danilo Gallinari,,activated from IL
29327,2019-12-31,Thunder,Dennis Schröder,,activated from IL
29328,2019-12-31,Warriors,,Willie Cauley-Stein,placed on IL with illness
29329,2019-12-31,Warriors,Eric Paschall,,activated from IL
29330,2020-01-01,Blazers,,Skal Labissiere,placed on IL
29331,2020-01-01,Knicks,Reggie Bullock,,activated from IL
29332,2020-01-01,Suns,,Frank Kaminsky,placed on IL with sore right knee
29333,2020-01-01,Wizards,Bradley Beal,,activated from IL
29334,2020-01-02,76ers,Joel Embiid,,activated from IL
29335,2020-01-02,Grizzlies,Jae Crowder,,activated from IL
29336,2020-01-02,Hawks,Trae Young,,activated from IL
29337,2020-01-02,Jazz,,Nigel Williams-Goss,placed on IL
29338,2020-01-02,Nets,,Garrett Temple,placed on IL with bruised right knee
29339,2020-01-02,Nuggets,,Vlatko Cancar,placed on IL
29340,2020-01-02,Nuggets,Gary Harris,,activated from IL
29341,2020-01-02,Pacers,,Edmond Sumner,placed on IL with sore right knee
29342,2020-01-02,Pacers,,Malcolm Brogdon,placed on IL with sore lower back
