,Unnamed: 0,Date,Team,Acquired,Relinquished,Notes,Affected Player,Season,Injury Type,Injury Part,Injury Duration
2022,27740.0,2019-01-07,Jazz,,Thabo Sefolosha,placed on IL with strained right hamstring,Thabo Sefolosha,2018-19,strained right hamstring,upper leg,33
2023,27737.0,2019-01-07,Grizzlies,,Dillon Brooks,placed on IL with toe injury (out for season),Dillon Brooks,2018-19,toe injury ,foot,267
2024,27745.0,2019-01-07,Nets,,Joe Harris,placed on IL with sprained right ankle,Joe Harris,2018-19,sprained right ankle,foot,2
2025,27742.0,2019-01-07,Knicks,,Frank Ntilikina,placed on IL with sprained left ankle,Frank Ntilikina,2018-19,sprained left ankle,foot,6
2026,27739.0,2019-01-07,Jazz,,Dante Exum,placed on IL with sprained left ankle,Dante Exum,2018-19,sprained left ankle,foot,63
2027,27751.0,2019-01-08,Cavaliers,,Rodney Hood,placed on IL with left Achilles injury,Rodney Hood,2018-19,left Achilles injury,foot,1
2028,27754.0,2019-01-08,Nuggets,,Gary Harris,placed on IL with left hamstring injury,Gary Harris,2018-19,left hamstring injury,upper leg,2
2029,27748.0,2019-01-08,76ers,,J.J. Redick,placed on IL with back injury,J.J. Redick,2018-19,back injury,back,1
2030,27753.0,2019-01-08,Jazz,,Ricky Rubio,placed on IL with strained right hamstring,Ricky Rubio,2018-19,strained right hamstring,upper leg,13
2031,27759.0,2019-01-08,Warriors,,Shaun Livingston,placed on IL with sore left knee,Shaun Livingston,2018-19,sore left knee,knee,3
2032,27758.0,2019-01-08,Suns,,Devin Booker,placed on IL with back spasms,Devin Booker,2018-19,back spasms,back,7
2033,27763.0,2019-01-09,Cavaliers,,Larry Nance Jr.,placed on IL with sprained MCL in right knee,Larry Nance Jr.,2018-19,sprained MCL in right knee,knee,58
2034,27774.0,2019-01-10,Pistons,,Zaza Pachulia,placed on IL with right leg injury,Zaza Pachulia,2018-19,right leg injury,upper leg,2
2035,27775.0,2019-01-10,Thunder,,Nerlens Noel,placed on IL with concussion,Nerlens Noel,2018-19,concussion,head and neck,7
2036,27777.0,2019-01-11,76ers,,Joel Embiid,placed on IL with sore left ankle,Joel Embiid,2018-19,sore left ankle,foot,2
2037,27778.0,2019-01-11,Bucks,,Giannis Antetokounmpo,placed on IL with bruised left hip,Giannis Antetokounmpo,2018-19,bruised left hip,core and hip,2
2038,27780.0,2019-01-11,Nets,,Jared Dudley,placed on IL with left hamstring injury,Jared Dudley,2018-19,left hamstring injury,upper leg,41
2039,27795.0,2019-01-12,Timberwolves,,Derrick Rose,placed on IL with sprained right ankle,Derrick Rose,2018-19,sprained right ankle,foot,3
2040,27794.0,2019-01-12,Spurs,,Rudy Gay,placed on IL with sprained left wrist,Rudy Gay,2018-19,sprained left wrist,hand,2
2041,27789.0,2019-01-12,Nuggets,,Gary Harris,placed on IL with left hamstring injury,Gary Harris,2018-19,left hamstring injury,upper leg,5
2042,27787.0,2019-01-12,Magic,,Mo Bamba,placed on IL with sore left foot,Mo Bamba,2018-19,sore left foot,foot,6
2043,27786.0,2019-01-12,Jazz,,Raul Neto,placed on IL with strained left groin,Raul Neto,2018-19,strained left groin,upper leg,25
2044,27790.0,2019-01-12,Nuggets,,Trey Lyles,placed on IL with sprained right wrist,Trey Lyles,2018-19,sprained right wrist,hand,3
2045,27801.0,2019-01-13,Mavericks,,J.J. Barea,placed on IL with torn right Achilles tendon (out for season),J.J. Barea,2018-19,torn right Achilles tendon ,foot,261
2046,27806.0,2019-01-14,Celtics,,Kyrie Irving,placed on IL with bruised right quadriceps,Kyrie Irving,2018-19,bruised right quadriceps,upper leg,2
2047,27808.0,2019-01-14,Grizzlies,,Kyle Anderson,placed on IL with sprained left ankle,Kyle Anderson,2018-19,sprained left ankle,foot,14
2048,27812.0,2019-01-14,Rockets,,Clint Capela,placed on IL with right thumb injury,Clint Capela,2018-19,right thumb injury,hand,38
2049,27810.0,2019-01-14,Pistons,,Zaza Pachulia,placed on IL with right leg injury,Zaza Pachulia,2018-19,right leg injury,upper leg,2
2050,27816.0,2019-01-15,Hawks,,Dewayne Dedmon,placed on IL with sprained left ankle,Dewayne Dedmon,2018-19,sprained left ankle,foot,4
2051,27831.0,2019-01-16,Rockets,,Brandon Knight,placed on IL with sore left knee,Brandon Knight,2018-19,sore left knee,knee,5
2052,27833.0,2019-01-16,Rockets,,James Ennis,placed on IL with left calf injury,James Ennis,2018-19,left calf injury,lower leg,3
2053,27835.0,2019-01-17,Bulls,,Wendell Carter Jr.,placed on IL with sprained left thumb (out for season),Wendell Carter Jr.,2018-19,sprained left thumb ,hand,257
2054,27843.0,2019-01-18,Clippers,,Lou Williams,placed on IL with right hamstring injury,Lou Williams,2018-19,right hamstring injury,upper leg,2
2055,27847.0,2019-01-18,Timberwolves,,Tyus Jones,placed on IL with sprained left ankle,Tyus Jones,2018-19,sprained left ankle,foot,35
2056,27851.0,2019-01-19,Cavaliers,,Tristan Thompson,placed on IL with sore left foot,Tristan Thompson,2018-19,sore left foot,foot,60
2057,27857.0,2019-01-19,Pistons,,Andre Drummond,placed on IL with concussion,Andre Drummond,2018-19,concussion,head and neck,6
2058,27858.0,2019-01-19,Pistons,,Ish Smith,placed on IL with right adductor injury,Ish Smith,2018-19,right adductor injury,upper leg,14
2059,27864.0,2019-01-20,Clippers,,Danilo Gallinari,placed on IL with lower back spasms,Danilo Gallinari,2018-19,lower back spasms,back,18
2060,27866.0,2019-01-20,Suns,,Deandre Ayton,placed on IL with sprained left ankle,Deandre Ayton,2018-19,sprained left ankle,foot,13
2061,27867.0,2019-01-20,Suns,,Richaun Holmes,placed on IL with sprained right foot,Richaun Holmes,2018-19,sprained right foot,foot,7
2062,27865.0,2019-01-20,Lakers,,Lonzo Ball,placed on IL with sprained left ankle (out for season),Lonzo Ball,2018-19,sprained left ankle ,foot,254
2063,27881.0,2019-01-21,Pistons,,Henry Ellenson,placed on IL with sprained left ankle,Henry Ellenson,2018-19,sprained left ankle,foot,4
2064,27880.0,2019-01-21,Pelicans,,Anthony Davis,placed on IL with left index finger injury,Anthony Davis,2018-19,left index finger injury,hand,16
2065,27869.0,2019-01-21,76ers,,Jimmy Butler,placed on IL with sprained right wrist,Jimmy Butler,2018-19,sprained right wrist,hand,8
2066,27877.0,2019-01-21,Magic,,Aaron Gordon,placed on IL with sore lower back,Aaron Gordon,2018-19,sore lower back,back,2
2067,27889.0,2019-01-22,Timberwolves,,Jeff Teague,placed on IL with sore left foot,Jeff Teague,2018-19,sore left foot,foot,2
2068,27894.0,2019-01-23,Hawks,,Kevin Huerter,placed on IL with sore neck,Kevin Huerter,2018-19,sore neck,head and neck,3
2069,27900.0,2019-01-23,Raptors,,Malachi Richardson,placed on IL with sore right knee,Malachi Richardson,2018-19,sore right knee,knee,14
2070,27902.0,2019-01-23,Suns,,T.J. Warren,placed on IL with sore right ankle (out for season),T.J. Warren,2018-19,sore right ankle ,foot,251
2071,27895.0,2019-01-23,Knicks,,Luke Kornet,placed on IL with sprained left ankle,Luke Kornet,2018-19,sprained left ankle,foot,9
2072,27904.0,2019-01-24,Pelicans,,Nikola Mirotic,placed on IL with strained right calf,Nikola Mirotic,2018-19,strained right calf,lower leg,28
2073,27917.0,2019-01-25,Timberwolves,,Jeff Teague,placed on IL with sore left foot,Jeff Teague,2018-19,sore left foot,foot,5
2074,27906.0,2019-01-25,Bucks,,Donte DiVincenzo,placed on IL with right heel injury,Donte DiVincenzo,2018-19,right heel injury,foot,41
2075,27911.0,2019-01-25,Magic,,Isaiah Briscoe,placed on IL with sprained right ankle,Isaiah Briscoe,2018-19,sprained right ankle,foot,6
2076,27916.0,2019-01-25,Suns,,De'Anthony Melton,placed on IL with sprained right ankle,De'Anthony Melton,2018-19,sprained right ankle,foot,26
2077,27910.0,2019-01-25,Knicks,,Emmanuel Mudiay,placed on IL with strained left shoulder,Emmanuel Mudiay,2018-19,strained left shoulder,upper body,28
2078,27919.0,2019-01-26,76ers,,Wilson Chandler,placed on IL with left hamstring injury,Wilson Chandler,2018-19,left hamstring injury,upper leg,3
2079,27921.0,2019-01-26,Blazers,,Damian Lillard,placed on IL with sore right knee,Damian Lillard,2018-19,sore right knee,knee,4
2080,27922.0,2019-01-26,Bulls,,Chandler Hutchison,placed on IL with right foot injury (out for season),Chandler Hutchison,2018-19,right foot injury ,foot,248
2081,27927.0,2019-01-26,Grizzlies,,Omri Casspi,placed on IL with sore right knee,Omri Casspi,2018-19,sore right knee,knee,12
